financial_year,state_code,state,month,month_date,intrastate_suppliers,intrastate_ewb_count,intrastate_assessable_value,interstate_out_suppliers,interstate_out_ewb_count,interstate_out_assessable_value,interstate_in_suppliers,interstate_in_ewb_count,interstate_in_assessable_value
2018-19,34,Puducherry,2018-10,2018-10-01,806.0,26969.0,873.0004961479999,1954.0,105686.0,2946.610693563,4657.0,92415.0,2621.742545102
2018-19,35,ANDAMAN AND NICOBAR,2018-10,2018-10-01,13.0,219.0,7.159883937000001,58.0,232.0,20.93114178,916.0,8239.0,184.93573322999998
2018-19,36,Telangana,2018-10,2018-10-01,24230.0,1008434.0,22232.783075833,24404.0,498394.0,22411.485519448997,52316.0,748871.0,29044.59221062
2018-19,37,Andhra Pradesh,2018-10,2018-10-01,28650.0,1149306.0,20449.757895696,18505.0,379176.0,26534.805685251,63461.0,730942.0,28944.021138879998
2018-19,01,Jammu and Kashmir,2018-11,2018-11-01,3851.0,123745.0,2178.749353559,2080.0,26704.0,1751.514975195,16757.0,165151.0,4435.449634527
2018-19,02,Himachal Pradesh,2018-11,2018-11-01,6380.0,208575.0,3686.203247401,4566.0,237404.0,9331.779202903,19521.0,255946.0,7656.952983298
2018-19,03,Punjab,2018-11,2018-11-01,49831.0,1145572.0,27893.331130821996,46216.0,895271.0,22135.573077017,59024.0,680762.0,22926.867668939998
2018-19,04,Chandigarh,2018-11,2018-11-01,2093.0,25285.0,394.39212856399996,4713.0,69001.0,1249.289021972,7884.0,99801.0,2139.894936023
2018-19,05,Uttarakhand,2018-11,2018-11-01,9495.0,463286.0,7431.015616611,6720.0,283870.0,14348.738964254,21263.0,395452.0,11517.443185904
2018-19,06,Haryana,2018-11,2018-11-01,56148.0,2106290.0,41837.467059521994,49692.0,1770747.0,52409.877519884,82085.0,1314488.0,50579.012641385
2018-19,07,Delhi,2018-11,2018-11-01,50809.0,726219.0,28270.082767380998,111868.0,1424683.0,35584.335672353,103002.0,1162613.0,39950.640806391
2018-19,08,Rajasthan,2018-11,2018-11-01,58391.0,1216069.0,27531.128782021002,42068.0,988580.0,26207.421231541,81346.0,863497.0,30035.211424835998
2018-19,09,Uttar Pradesh,2018-11,2018-11-01,95487.0,2607200.0,54394.952949815,62729.0,1043826.0,43844.479581936,150473.0,1714688.0,59215.617553764
2018-19,10,Bihar,2018-11,2018-11-01,4489.0,209376.0,5167.804154165,5270.0,45535.0,2146.148130367,47102.0,417784.0,12401.372452100999
2018-19,11,Sikkim,2018-11,2018-11-01,102.0,3026.0,46.611260668999996,163.0,7178.0,1772.7942053599998,1453.0,23780.0,701.402787003
2018-19,12,Arunachal Pradesh,2018-11,2018-11-01,94.0,2417.0,39.800820019999996,183.0,1670.0,81.350369521,2193.0,21696.0,452.84315619700004
2018-19,13,Nagaland,2018-11,2018-11-01,62.0,656.0,17.443883437,227.0,4424.0,96.851822146,2340.0,21184.0,428.603933441
2018-19,14,Manipur,2018-11,2018-11-01,42.0,2611.0,52.282420852,83.0,601.0,9.834554222,2196.0,23116.0,506.520322163
2018-19,15,Mizoram,2018-11,2018-11-01,13.0,821.0,9.71305815,81.0,617.0,129.17758506500002,1501.0,15166.0,337.05342597199996
2018-19,16,Tripura,2018-11,2018-11-01,551.0,13704.0,230.112654617,264.0,1766.0,156.714560034,3572.0,29817.0,714.275126515
2018-19,17,Meghalaya,2018-11,2018-11-01,261.0,8845.0,179.026705669,330.0,29058.0,477.575123162,3012.0,31371.0,718.092821321
2018-19,18,Assam,2018-11,2018-11-01,9748.0,332413.0,6282.874470679,7984.0,136255.0,5299.934184943,22743.0,245263.0,8014.802465936
2018-19,19,West Bengal,2018-11,2018-11-01,33324.0,1108343.0,34267.875518165005,34490.0,568287.0,25659.693559985,53547.0,735922.0,33154.508619703
2018-19,20,Jharkhand,2018-11,2018-11-01,7582.0,375401.0,9054.080931311,6111.0,196904.0,12220.294439705,21641.0,293515.0,10604.177571574
