financial_year,state_code,state,month,month_date,eligible,on_time,late,total_filed,filing_pct
2017-18,16,Tripura,2017-08,2017-08-01,15567.0,3316.0,11254.0,14570.0,0.9359542622213657
2017-18,16,Tripura,2017-09,2017-09-01,16398.0,5532.0,9799.0,15331.0,0.9349310891572143
2017-18,16,Tripura,2017-10,2017-10-01,16060.0,7554.0,7352.0,14906.0,0.9281444582814445
2017-18,16,Tripura,2017-11,2017-11-01,16663.0,8320.0,6881.0,15201.0,0.9122606973534177
2017-18,16,Tripura,2017-12,2017-12-01,16864.0,8900.0,6449.0,15349.0,0.9101636622390892
2017-18,16,Tripura,2018-01,2018-01-01,17122.0,9277.0,6254.0,15531.0,0.9070786123116459
2017-18,16,Tripura,2018-02,2018-02-01,17347.0,9247.0,6424.0,15671.0,0.9033838704098691
2017-18,16,Tripura,2018-03,2018-03-01,17562.0,8747.0,7077.0,15824.0,0.9010363284363968
2017-18,17,Meghalaya,2017-07,2017-07-01,11989.0,3931.0,7099.0,11030.0,0.9200100091750771
2017-18,17,Meghalaya,2017-08,2017-08-01,13712.0,2678.0,9608.0,12286.0,0.8960035005834306
2017-18,17,Meghalaya,2017-09,2017-09-01,14696.0,3598.0,9466.0,13064.0,0.8889493739793141
2017-18,17,Meghalaya,2017-10,2017-10-01,14641.0,5305.0,7720.0,13025.0,0.8896250256130046
2017-18,17,Meghalaya,2017-11,2017-11-01,15103.0,5702.0,7518.0,13220.0,0.8753227835529365
2017-18,17,Meghalaya,2017-12,2017-12-01,15398.0,6252.0,7131.0,13383.0,0.869138849201195
2017-18,17,Meghalaya,2018-01,2018-01-01,15791.0,6482.0,7140.0,13622.0,0.8626432778164778
2017-18,17,Meghalaya,2018-02,2018-02-01,15996.0,6623.0,7120.0,13743.0,0.859152288072018
2017-18,17,Meghalaya,2018-03,2018-03-01,16327.0,7153.0,6833.0,13986.0,0.8566178722361733
2017-18,18,Assam,2017-07,2017-07-01,97283.0,37502.0,48845.0,86347.0,0.8875857035658851
2017-18,18,Assam,2017-08,2017-08-01,111825.0,20779.0,74091.0,94870.0,0.8483791638721216
2017-18,18,Assam,2017-09,2017-09-01,114311.0,29949.0,69268.0,99217.0,0.8679567145768998
2017-18,18,Assam,2017-10,2017-10-01,110497.0,37783.0,57621.0,95404.0,0.8634080563273211
2017-18,18,Assam,2017-11,2017-11-01,113702.0,42970.0,53894.0,96864.0,0.8519111361277726
2017-18,18,Assam,2017-12,2017-12-01,114563.0,48429.0,48864.0,97293.0,0.8492532493038765
2017-18,18,Assam,2018-01,2018-01-01,116010.0,50569.0,47572.0,98141.0,0.8459701749849151
2017-18,18,Assam,2018-02,2018-02-01,119071.0,50255.0,49579.0,99834.0,0.8384409302013085
2017-18,18,Assam,2018-03,2018-03-01,122022.0,44666.0,57317.0,101983.0,0.8357755158905771
