financial_year,category,month,cgst,sgst,igst,cess,total
2020-21,gross_revenue,2021-02,22973.2346975,27272.8050253,55253.2696062,9525.093362600002,113143.42372740002
2020-21,gross_revenue,2021-03,22973.2346975,29329.157996,62842.37461910001,8757.205264100001,123901.9725767
2021-22,domestic,2021-04,16120.040734100003,35620.66221809999,38881.81411790001,8463.697737399998,110803.51052830003
2021-22,domestic,2021-05,16331.392068,20738.81670939999,25735.105823700003,8357.238966500001,70951.2022337
2021-22,domestic,2021-06,22197.299438700004,20340.659493599996,23416.8926626,6140.022206499999,66228.9664307
2021-22,domestic,2021-07,20521.4987104,28541.239634300004,29964.091452400004,6975.2345205,87677.86504589999
2021-22,domestic,2021-08,20577.9306537,26605.141875300007,29363.449535399992,8000.2206787999985,84490.31079989999
2021-22,domestic,2021-09,23861.30474020001,26767.028026200005,31356.304174499997,8131.086257000001,86832.34911139999
2021-22,domestic,2021-10,23978.414052599994,30421.0350711,34362.353492400005,7784.885594900001,96429.57889860001
2021-22,domestic,2021-11,22577.570000000003,31127.1338291,34649.465097500004,8952.850815499998,98707.8637947
2021-22,domestic,2021-12,24869.09,28658.059999999998,31628.219999999998,8775.24,91639.08999999998
2021-22,domestic,2022-01,24435.070000000003,32239.399999999998,36983.12999999999,9159.57,103251.18999999999
2021-22,domestic,2022-02,25830.300000000003,30779.050000000003,33634.51000000001,9701.890000000001,98550.52
2021-22,domestic,2022-03,25830.300000000003,32377.62,35338.99,8435.96,101982.86999999998
2021-22,gross_revenue,2021-04,16120.040734100003,35620.66221809999,66877.9841179,9371.747737399997,139707.73052830002
2021-22,gross_revenue,2021-05,16331.392068,20738.81670939999,51736.715823700004,9225.098966500002,97820.6722337
2021-22,gross_revenue,2021-06,22197.299438700004,20340.659493599996,49179.0226626,6949.282206499999,92800.3564307
2021-22,gross_revenue,2021-07,20521.4987104,28541.239634300004,57864.07145240001,7790.0345205,116392.64504589999
2021-22,gross_revenue,2021-08,20577.9306537,26605.141875300007,56247.089535399995,8646.330678799999,112020.06079989999
2021-22,gross_revenue,2021-09,23861.30474020001,26767.028026200005,60911.274174499995,8753.726257,117009.95911139999
2021-22,gross_revenue,2021-10,23978.414052599994,30421.0350711,67360.5734924,8483.7855949,130126.6988986
2021-22,gross_revenue,2021-11,22577.570000000003,31127.1338291,66814.9050975,9605.530815499998,131525.9837947
2021-22,gross_revenue,2021-12,24869.09,28658.059999999998,69155.22,9389.24,129780.08999999998
2021-22,gross_revenue,2022-01,24435.070000000003,32239.399999999998,74182.12999999999,9695.57,140986.19
2021-22,gross_revenue,2022-02,25830.300000000003,30779.050000000003,67471.51000000001,10339.94,133025.57
2021-22,gross_revenue,2022-03,25830.300000000003,32377.62,74469.98999999999,9416.96,142094.87
2022-23,domestic,2022-04,25036.120000000003,41793.17999999999,45233.81000000001,9792.28,129978.16999999994
2022-23,domestic,2022-05,25305.850000000002,32001.300000000007,35875.94999999999,9571.29,102484.65999999996
2022-23,domestic,2022-06,25750.74,32406.149999999998,35784.64000000001,9820.55,103317.19
2022-23,domestic,2022-07,24710.11,32806.57,38098.259999999995,9924.96,106580.53000000001
2022-23,domestic,2022-08,25271.110000000004,30950.7,35714.990000000005,9150.67,100526.47000000002
2022-23,domestic,2022-09,26039.360000000004,31813.449999999997,39248.95,9281.55,105615.05999999998
2022-23,domestic,2022-10,25681.490000000005,33395.63,44480.54999999999,9680.23,113595.77
2022-23,domestic,2022-11,26710.59,32650.59999999999,38467.770000000004,9615.970000000001,106415.82999999999
2022-23,domestic,2022-12,29051.110000000008,33357.05000000001,38171.55000000001,10155.11,108394.3
2022-23,domestic,2023-01,27662.169999999995,36846.70999999999,42561.04999999999,9863.409999999996,118322.27999999998
2022-23,domestic,2023-02,29545.520000000004,34915.42,39379.840000000004,11138.680000000004,113096.11
2022-23,domestic,2023-03,29545.520000000004,37314.47999999999,40403.89,9395.02,116658.90999999997
2022-23,gross_revenue,2022-04,25036.120000000003,41793.17999999999,81938.81000000001,10649.28,167540.16999999993
2022-23,gross_revenue,2022-05,25305.850000000002,32001.300000000007,73344.94999999998,10502.29,140884.65999999997
2022-23,gross_revenue,2022-06,25750.74,32406.149999999998,75886.64000000001,11017.55,144616.19
2022-23,gross_revenue,2022-07,24710.11,32806.57,79518.26,10919.96,148995.53000000003
