financial_year,month,month_date,net_prior,net_cur,dom_cgst_prior,dom_cgst_cur,dom_sgst_prior,dom_sgst_cur,dom_igst_prior,dom_igst_cur,dom_cess_prior,dom_cess_cur,gross_domestic_prior,gross_domestic_cur,imp_igst_prior,imp_igst_cur,imp_cess_prior,imp_cess_cur,refund_prior,refund_cur
2024-25,2025-02,2025-02-01,,,29537.159,32597.480000000003,36748.792,40621.4,42194.076,45241.009999999995,11558.0093,12718.53,128759.89630000002,141944.68,71796.05600000001,76057.43979653,12445.7393,13481.312175000001,17809.71,20888.7645958
2024-25,2025-03,2025-03-01,,,31617.143299999996,35523.86,40202.6969,46229.7,43147.3214,45018.74,10986.177099999999,10923.730000000001,137165.93869999997,149222.15999999997,80829.8814,82729.9032441,11942.3671,12042.8938971,13891.51,19614.8232992
2025-26,2025-04,2025-04-01,,,41131.368700000006,45401.09868289999,50265.6476,55524.7336834,57069.4761,63650.022578400014,12029.2209,11841.7532487,171432.5433,189803.4081934,87466.23610000001,95688.18671260001,12969.9109,12761.891856600001,18433.9,27340.565904199997
2025-26,2025-05,2025-05-01,,,29233.27,31191.0,36196.840000000004,38510.91,43543.26,50401.130000000005,10898.16,11368.029999999999,131783.32,149784.65000000002,67207.3173618,91677.2888835,11744.0124415,12461.509210699998,28357.4601967,27209.6515543
2025-26,2025-06,2025-06-01,,,29817.772,31363.950000000004,37021.8217,39394.61,42935.2102,43307.99,11944.894999999999,12196.740000000002,132800.1589,138906.01,74372.0702,75219.040624127,12747.464999999998,13128.297808700001,19853.41,25490.6079754
2025-26,2025-07,2025-07-01,,,30416.18,32153.379999999997,37844.12,39517.1,46208.94,43263.57,11761.96,11106.060000000001,134036.37,143023.16,84883.05,84875.13447058,12656.689999999999,12042.6963966,16275.210000000001,27146.9141858
2025-26,2025-08,2025-08-01,,,27274.2776,31473.72,34040.1284,39736.310000000005,38992.1121,43638.11,10670.9067,11099.86,124985.5348,136961.57,77945.6321,83963.77407080401,11531.296699999999,11782.248867600001,24170.3,19359.3448835
2025-26,2025-09,2025-09-01,,,28777.348700000002,30247.379999999997,36039.3701,37553.060000000005,41533.7398,41918.08,10819.801299999997,10554.86,127849.8499,136524.5,76461.5398,81706.437059191,11508.521299999997,10852.7828129,20453.299999999996,28656.865259
2025-26,2025-10,2025-10-01,,,31305.011300000002,33574.03,38722.38770000001,40844.41,50344.531800000004,50141.97,11394.493199999999,7231.650000000001,142250.674,145051.96000000002,85972.1018,87474.982887131,12054.713199999998,7108.5318800000005,19292.260000000002,26934.418028300002
2025-26,2025-11,2025-11-01,,,31815.510000000002,32663.949999999997,39809.719999999994,39804.51,45719.79,43090.03,12223.29,3995.4,139678.15,129036.56,78436.7370782,79610.888607,12949.849855100001,4005.690008,19257.203066700004,18946.9560211
2025-26,2025-12,2025-12-01,,,29929.984000000004,30014.449999999997,36846.0095,35928.55,42969.8759,38208.46,11327.718200000001,4277.16,132588.8876,127109.39,75641.3659,79627.29378748001,12003.3482,4237.8029975,22435.84,29292.6119428
2025-26,2026-01,2026-01-01,,,32460.178499999998,35488.35,40172.366799999996,43552.97,47889.722400000006,48971.56,12266.622800000001,5690.070000000001,147124.24049999999,146979.53000000003,86068.03240000001,91678.064611551,13009.202800000001,5767.5180445000005,23796.159999999996,22837.333420699997
2025-26,2026-02,2026-02-01,,,32597.9274,35042.5,40622.6747,42867.7,45241.1299,47922.880000000005,12718.5318,5067.53,141944.6838,140991.33,76057.5599,83103.689669725,13481.321800000002,5062.8136841,20886.920000000002,22751.7166627
